样本编号,类型,数据库ID,抽样方式,实体名,主语,关系,宾语,定义,别名,观察数,连接度,关系全库频次,证据数,来源位置,Passage IDs,原文证据,人工结论（合格/不合格/不确定）,问题类型（实体边界/重复或误合并/端点/关系/方向/证据/上下文/其他）,建议修改,备注
C06,Claim,2852,Claim全库确定性均匀抽样,,参数,使加权区域更加尖锐,注意力权重,,,,,1,1,"P004826 section 《动手学深度学习》 > 注意力机制 > 注意力汇聚：Nadaraya-Watson 核回归 > 练习; page 1, chars 714703-714905",["P004826"],1. 增加训练数据的样本数量，能否得到更好的非参数的Nadaraya-Watson核回归模型？ 1. 在带参数的注意力汇聚的实验中学习得到的参数$w$的价值是什么？为什么在可视化注意力权重时，它会使加权区域更加尖锐？ 1. 如何将超参数添加到非参数的Nadaraya-Watson核回归中以实现更好地预测结果？ 1. 为本节的核回归设计一个新的带参数的注意力汇聚模型。训练这个新模型并可视化其注意力权重。,不合格,,,忽略了前提条件
C07,Claim,4547,Claim全库确定性均匀抽样,,多机参数服务器梯度同步时间复杂度 O(m),可降低,多机参数服务器梯度同步时间复杂度 O(m/n),,,,,5,1,"P006596 section 《动手学深度学习》 > 计算性能 > 参数服务器 > 多机训练; page 1, chars 1024924-1025323",["P006596"],以上这些操作似乎都相当简单，而且事实上它们可以在一台机器内高效地执行，但是当我们考虑多台机器时，就会发现中央的参数服务器成为了瓶颈。毕竟，每个服务器的带宽是有限的，因此对$m$个工作节点来说，将所有梯度发送到服务器所需的时间是$\mathcal{O}(m)$。我们也可以通过将参数服务器数量增加到$n$来突破这一障碍。此时，每个服务器只需要存储$\mathcal{O}(1/n)$个参数，因此更新和优化的总时间变为$\mathcal{O}(m/n)$。这两个数字的匹配会产生稳定的伸缩性，而不用在乎我们需要处理多少工作节点。在实际应用中，我们使用同一台机器既作为工作节点还作为服务器。设计说明请参考 :numref:`fig_ps_multips`（技术细节请参考 :cite:`Li.Andersen.Park.ea.2014`）。特别是，确保多台机器只在没有不合理延迟的情况下工作是相当困难的。,合格,,,
C08,Claim,6242,Claim全库确定性均匀抽样,,BERT预训练辅助函数,配套服务,预训练任务,,,,,2,1,"P008258 section 《动手学深度学习》 > 自然语言处理：预训练 > 用于预训练BERT的数据集 > 为预训练任务定义辅助函数; page 1, chars 1320885-1320956",["P008258"],在下文中，我们首先为BERT的两个预训练任务实现辅助函数。这些辅助函数将在稍后将原始文本语料库转换为理想格式的数据集时调用，以预训练BERT。,合格,,,
C09,Claim,3,Claim全库确定性均匀抽样,,机器学习,part_of,计算机视觉,,,,,8,1,"P000004 section 《动手学深度学习》 > 前言; page 1, chars 76-335",["P000004"],几年前，在大公司和初创公司中，并没有大量的深度学习科学家开发智能产品和服务。我们中年轻人（作者）进入这个领域时，机器学习并没有在报纸上获得头条新闻。我们的父母根本不知道什么是机器学习，更不用说为什么我们可能更喜欢机器学习，而不是从事医学或法律职业。机器学习是一门具有前瞻性的学科，在现实世界的应用范围很窄。而那些应用，例如语音识别和计算机视觉，需要大量的领域知识，以至于它们通常被认为是完全独立的领域，而机器学习对这些领域来说只是一个小组件。因此，神经网络——我们在本书中关注的深度学习模型的前身，被认为是过时的工具。,不合格,,,忽略了前提条件
C10,Claim,1698,Claim全库确定性均匀抽样,,围棋,是...的实例,强化学习,,,,,22,1,"P002185 section 《动手学深度学习》 > 多层感知机 > 环境和分布偏移 > 学习问题的分类法 > 强化学习; page 1, chars 280308-280466",["P002185"],*强化学习*（reinforcement learning）强调如何基于环境而行动，以取得最大化的预期利益。 国际象棋、围棋、西洋双陆棋或星际争霸都是强化学习的应用实例。 再比如，为自动驾驶汽车制造一个控制器，或者以其他方式对自动驾驶汽车的驾驶方式做出反应 （例如，试图避开某物体，试图造成事故，或者试图与其合作）。,不合格,,,AI下围棋是强化学习的实例，但是围棋不能是
C11,Claim,3393,Claim全库确定性均匀抽样,,Paddle（d2l 教材中的 PaddlePaddle 框架标签）,represented_by_device_api,GPU,,,,,5,2,"P002711 section 《动手学深度学习》 > 深度学习计算 > GPU > [**计算设备**]; page 1, chars 349727-350032",["P002711"],":begin_tab:`paddle` 在飞桨中，CPU和GPU可以用`paddle.device.set_device('cpu')` 和`paddle.device.set_device('gpu')`表示。 应该注意的是，`cpu`设备意味着所有物理CPU和内存, 这意味着飞桨的计算将尝试使用所有CPU核心。 然而，`gpu`设备只代表一个卡和相应的显存。 如果有多个GPU，我们使用`paddle.device.get_device()` 其中输出的数字是表示的是卡号（比如`gpu:3`，表示的是卡3，注意GPU的卡号是从0开始的）。 另外，`gpu:0`和`gpu`是等价的。 :end_tab:",合格,,,
C12,Claim,5088,Claim全库确定性均匀抽样,,风格损失,uses,平方误差,,,,,629,1,"P007531 section 《动手学深度学习》 > 计算机视觉 > 风格迁移 > [**定义损失函数**] > 风格损失; page 1, chars 1191919-1192181",["P007531"],"风格损失与内容损失类似，也通过平方误差函数衡量合成图像与风格图像在风格上的差异。 为了表达风格层输出的风格，我们先通过`extract_features`函数计算风格层的输出。 假设该输出的样本数为1，通道数为$c$，高和宽分别为$h$和$w$，我们可以将此输出转换为矩阵$\mathbf{X}$，其有$c$行和$hw$列。 这个矩阵可以被看作由$c$个长度为$hw$的向量$\mathbf{x}_1, \ldots, \mathbf{x}_c$组合而成的。其中向量$\mathbf{x}_i$代表了通道$i$上的风格特征。",凑合,,,单纯从这个上下文里确实是这样，但实际上分割损失也会有别的计算方法
C13,Claim,6783,Claim全库确定性均匀抽样,,Image,保存在,Amazon Machine Image,,,,,14,1,"P008933 section 《动手学深度学习》 > 附录：深度学习工具 > 使用Amazon EC2实例 > 关闭未使用的实例; page 1, chars 1442161-1442431",["P008933"],如果你想要将该实例用作更多实例的模板，请右击 :numref:`fig_connect`中的例子，然后选择“Image”$\rightarrow$“Create”以创建该实例的镜像。完成后，选择“实例状态”$\rightarrow$“终止”以终止实例。下次要使用此实例时，可以按照本节中的步骤基于保存的镜像创建实例。唯一的区别是，在 :numref:`fig_ubuntu`所示的“1.选择AMI”中，你必须使用左侧的“我的AMI”选项来选择你保存的镜像。创建的实例将保留镜像硬盘上存储的信息。例如，你不必重新安装CUDA和其他运行时环境。,不合格,,,这个仅仅是一个实例，它并不能算是一条知识
C14,Claim,544,Claim全库确定性均匀抽样,,numerical_lim,计算差商,差商,,,,,1,1,"P000724 section 《动手学深度学习》 > 预备知识 > 微积分 > 导数和微分; page 1, chars 82881-82971; P000725 section 《动手学深度学习》 > 预备知识 > 微积分 > 导数和微分; page 1, chars 82973-83086","[""P000724"", ""P000725""]","```{.python .input} #@tab all def numerical_lim(f, x, h): return (f(x + h) - f(x)) / h h = 0.1 for i in range(5): print(f'h={h:.5f}, numerical limit={numerical_lim(f, 1, h):.5f}') h *= 0.1 ```",不合格,,,
C15,Claim,2239,Claim全库确定性均匀抽样,,NiN（网络中的网络）,移除组件,全连接层,,,,,4,1,"P003308 section 《动手学深度学习》 > 现代卷积神经网络 > 网络中的网络（NiN） > 小结; page 1, chars 436791-436999",["P003308"],* NiN使用由一个卷积层和多个$1\times 1$卷积层组成的块。该块可以在卷积神经网络中使用，以允许更多的每像素非线性。 * NiN去除了容易造成过拟合的全连接层，将它们替换为全局平均汇聚层（即在所有位置上进行求和）。该汇聚层通道数量为所需的输出数量（例如，Fashion-MNIST的输出为10）。 * 移除全连接层可减少过拟合，同时显著减少NiN的参数。 * NiN的设计影响了许多后续卷积神经网络的设计。,合格,,,
C16,Claim,3934,Claim全库确定性均匀抽样,,通过时间的完全反向传播,应用于,eq_bptt_partial_ht_wh_gen（BPTT 中 h_t 对 w_h 偏导数的完整求和梯度表达式）,,,,,222,1,"P004104 section 《动手学深度学习》 > 循环神经网络 > 通过时间反向传播 > 循环神经网络的梯度分析 > 完全计算; page 1, chars 586344-586575",["P004104"],显然，我们可以仅仅计算 :eqref:`eq_bptt_partial_ht_wh_gen`中的全部总和， 然而，这样的计算非常缓慢，并且可能会发生梯度爆炸， 因为初始条件的微小变化就可能会对结果产生巨大的影响。 也就是说，我们可以观察到类似于蝴蝶效应的现象， 即初始条件的很小变化就会导致结果发生不成比例的变化。 这对于我们想要估计的模型而言是非常不可取的。 毕竟，我们正在寻找的是能够很好地泛化高稳定性模型的估计器。 因此，在实践中，这种方法几乎从未使用过。,不合格,,,
C17,Claim,5629,Claim全库确定性均匀抽样,,卷积神经网络,uses,卷积核大小 k,,,,,629,1,"P005062 section 《动手学深度学习》 > 注意力机制 > 自注意力和位置编码 > 比较卷积神经网络、循环神经网络和自注意力; page 1, chars 766813-767138",["P005062"],考虑一个卷积核大小为$k$的卷积层。 在后面的章节将提供关于使用卷积神经网络处理序列的更多详细信息。 目前只需要知道的是，由于序列长度是$n$，输入和输出的通道数量都是$d$， 所以卷积层的计算复杂度为$\mathcal{O}(knd^2)$。 如 :numref:`fig_cnn-rnn-self-attention`所示， 卷积神经网络是分层的，因此为有$\mathcal{O}(1)$个顺序操作， 最大路径长度为$\mathcal{O}(n/k)$。 例如，$\mathbf{x}_1$和$\mathbf{x}_5$处于 :numref:`fig_cnn-rnn-self-attention`中卷积核大小为3的双层卷积神经网络的感受野内。,合格,,,
C18,Claim,1085,Claim全库确定性均匀抽样,,softmax回归,输出层类型为,全连接层,,,,,1,1,"P001516 section 《动手学深度学习》 > 线性神经网络 > softmax回归的简洁实现 > 初始化模型参数; page 1, chars 185679-185851",["P001516"],如我们在 :numref:`sec_softmax`所述， [**softmax回归的输出层是一个全连接层**]。 因此，为了实现我们的模型， 我们只需在`Sequential`中添加一个带有10个输出的全连接层。 同样，在这里`Sequential`并不是必要的， 但它是实现深度模型的基础。 我们仍然以均值0和标准差0.01随机初始化权重。,合格,,,
C19,Claim,2780,Claim全库确定性均匀抽样,,<eos>（序列结束词元）,标记序列终止,输出序列,,,,,1,1,"P004643 section 《动手学深度学习》 > 现代循环神经网络 > 束搜索; page 1, chars 685824-685993",["P004643"],在 :numref:`sec_seq2seq`中，我们逐个预测输出序列， 直到预测序列中出现特定的序列结束词元“&lt;eos&gt;”。 本节将首先介绍*贪心搜索*（greedy search）策略， 并探讨其存在的问题，然后对比其他替代策略： *穷举搜索*（exhaustive search）和*束搜索*（beam search）。,合格,,,
C20,Claim,4475,Claim全库确定性均匀抽样,,p3.16xlarge,配备组件,GPU,,,,,8,1,"P006444 section 《动手学深度学习》 > 计算性能 > 多GPU训练 > 问题拆分; page 1, chars 993129-993472",["P006444"],我们从一个简单的计算机视觉问题和一个稍稍过时的网络开始。 这个网络有多个卷积层和汇聚层，最后可能有几个全连接的层，看起来非常类似于LeNet :cite:`LeCun.Bottou.Bengio.ea.1998`或AlexNet :cite:`Krizhevsky.Sutskever.Hinton.2012`。 假设我们有多个GPU（如果是桌面服务器则有$2$个，AWS g4dn.12xlarge上有$4$个，p3.16xlarge上有$8$个，p2.16xlarge上有$16$个）。 我们希望以一种方式对训练进行拆分，为实现良好的加速比，还能同时受益于简单且可重复的设计选择。 毕竟，多个GPU同时增加了内存和计算能力。 简而言之，对于需要分类的小批量训练数据，我们有以下选择。,凑合,,,这个其实算不上一条知识
C21,Claim,6170,Claim全库确定性均匀抽样,,BERT,微调模型参数,Transformer编码器,,,,,2,1,"P008163 section 《动手学深度学习》 > 自然语言处理：预训练 > 来自Transformers的双向编码器表示（BERT） > BERT：把两个最好的结合起来; page 1, chars 1298864-1299263",["P008163"],如我们所见，ELMo对上下文进行双向编码，但使用特定于任务的架构；而GPT是任务无关的，但是从左到右编码上下文。BERT（来自Transformers的双向编码器表示）结合了这两个方面的优点。它对上下文进行双向编码，并且对于大多数的自然语言处理任务 :cite:`Devlin.Chang.Lee.ea.2018`只需要最少的架构改变。通过使用预训练的Transformer编码器，BERT能够基于其双向上下文表示任何词元。在下游任务的监督学习过程中，BERT在两个方面与GPT相似。首先，BERT表示将被输入到一个添加的输出层中，根据任务的性质对模型架构进行最小的更改，例如预测每个词元与预测整个序列。其次，对预训练Transformer编码器的所有参数进行微调，而额外的输出层将从头开始训练。 :numref:`fig_elmo-gpt-bert` 描述了ELMo、GPT和BERT之间的差异。,合格,,,
C22,Claim,1626,Claim全库确定性均匀抽样,,协变量偏移,是...的一种类型/子领域,分布偏移,,,,,2,1,"P002106 section 《动手学深度学习》 > 多层感知机 > 环境和分布偏移 > 分布偏移的类型 > 协变量偏移; page 1, chars 270697-270919",["P002106"],在不同分布偏移中，协变量偏移可能是最为广泛研究的。 这里我们假设：虽然输入的分布可能随时间而改变， 但标签函数（即条件分布$P(y \mid \mathbf{x})$）没有改变。 统计学家称之为*协变量偏移*（covariate shift）， 因为这个问题是由于协变量（特征）分布的变化而产生的。 虽然有时我们可以在不引用因果关系的情况下对分布偏移进行推断， 但在我们认为$\mathbf{x}$导致$y$的情况下，协变量偏移是一种自然假设。,合格,,,
C23,Claim,3321,Claim全库确定性均匀抽样,,学习率调度器,减轻,过拟合,,,,,8,1,"P006085 section 《动手学深度学习》 > 优化算法 > 学习率调度器 > 学习率调度器; page 1, chars 941473-941603",["P006085"],这比以前好一些：曲线比以前更加平滑，并且过拟合更小了。 遗憾的是，关于为什么在理论上某些策略会导致较轻的过拟合，有一些观点认为，较小的步长将导致参数更接近零，因此更简单。 但是，这并不能完全解释这种现象，因为我们并没有真正地提前停止，而只是轻柔地降低了学习率。,合格,,,
C24,Claim,5016,Claim全库确定性均匀抽样,,DataLoader,封装,VOCSegDataset,,,,,12,1,"P007441 section 《动手学深度学习》 > 计算机视觉 > 全卷积网络 > [**读取数据集**]; page 1, chars 1178443-1179085",["P007441"],"```{.python .input} #@tab paddle import os def load_data_voc(batch_size, crop_size): """"""加载VOC语义分割数据集 Defined in :numref:`sec_semantic_segmentation`"""""" voc_dir = d2l.download_extract('voc2012', os.path.join( 'VOCdevkit', 'VOC2012')) train_iter = paddle.io.DataLoader( d2l.VOCSegDataset(True, crop_size, voc_dir), batch_size=batch_size, shuffle=True, return_list=True, drop_last=True, num_workers=0) test_iter = paddle.io.DataLoader( d2l.VOCSegDataset(False, crop_size, voc_dir), batch_size=batch_size, drop_last=True, return_list=True, num_workers=0) return train_iter, test_iter",凑合,,,这个其实算不上一条知识
C25,Claim,6711,Claim全库确定性均匀抽样,,Kernel→Restart & Run All,用于运行所有单元格,Jupyter记事本,,,,,1,1,"P008806 section 《动手学深度学习》 > 附录：深度学习工具 > 使用Jupyter Notebook > 在本地编辑和运行代码; page 1, chars 1431923-1432084",["P008806"],当一个notebook包含更多单元格时，我们可以单击菜单栏中的“Kernel”$\rightarrow$“Restart & Run All”来运行整个notebook中的所有单元格。通过单击菜单栏中的“Help”$\rightarrow$“Edit Keyboard Shortcuts”，可以根据你的首选项编辑快捷键。,凑合,,,这个其实算不上一条知识
